"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"24XK3PSB","book","1858","","Laurens Coster: tijdschrift voor beoefenaren en voorstanders der boekdrukkunst","","","","","https://books.google.nl/books?id=JAXL6QxBLncC","","1858","2021-01-15 13:42:00","2021-01-29 10:40:42","","","392","","1","","","","","","","","Algemeene Nederlandsche Typographische Hoofdvereeniging","Utrecht","nl","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1-12","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ISC9UYNV","book","1859","","Laurens Coster: tijdschrift voor beoefenaren en voorstanders der boekdrukkunst","","","","","https://books.google.nl/books?id=-VcC2yD0XhsC","","1859","2021-01-15 13:42:00","2021-01-29 10:41:17","","","392","","2","","","Laurens Coster","","","","","Algemeene Nederlandsche Typographische Hoofdvereeniging","","nl","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1-12","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KCUBK535","book","1860","","Laurens Coster: tijdschrift voor beoefenaren en voorstanders der boekdrukkunst","","","","","https://books.google.nl/books?id=vFKs_wTcdk8C","","1860","2021-01-15 13:42:00","2021-01-29 10:42:41","","","28","","3","","","","","","","","Algemeene Nederlandsche Typographische Hoofdvereeniging","","nl","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EV5PFUFU","book","1860","","Laurens Coster: tijdschrift voor beoefenaren en voorstanders der boekdrukkunst","","","","","https://books.google.nl/books?id=wXaXLw1Fc-8C","","1860","2021-01-15 13:42:00","2021-01-29 10:43:39","","","36","","3","","","","","","","","Algemeene Nederlandsche Typographische Hoofdvereeniging","","nl","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8897PZMZ","book","1860","","Laurens Coster: tijdschrift voor beoefenaren en voorstanders der boekdrukkunst","","","","","https://books.google.nl/books?id=rx9Jd-2wtDUC","","1860","2021-01-15 13:42:00","2021-01-29 11:10:31","","","36","","3","","","","","","","","Algemeene Nederlandsche Typographische Hoofdvereeniging","","nl","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J5C92YM3","book","1860","","Laurens Coster: tijdschrift voor beoefenaren en voorstanders der boekdrukkunst","","","","","https://books.google.nl/books?id=CoW7Ud5uM5MC","","1860","2021-01-15 13:42:00","2021-01-29 11:10:55","","","36","","3","","","","","","","","Algemeene Nederlandsche Typographische Hoofdvereeniging","","nl","","","","","","","Google-Books-ID: CoW7Ud5uM5MC","","","","","","","","","","","","","","","","","","","","","","","","","7","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3WAKYQXR","book","1860","","Laurens Coster: tijdschrift voor beoefenaren en voorstanders der boekdrukkunst","","","","","https://books.google.nl/books?id=CoW7Ud5uM5MC","","1860","2021-01-15 13:42:00","2021-01-29 11:11:22","","","36","","3","","","","","","","","Algemeene Nederlandsche Typographische Hoofdvereeniging","","nl","","","","","","","Google-Books-ID: CoW7Ud5uM5MC","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XILDBCTU","book","1860","","Laurens Coster: tijdschrift voor beoefenaren en voorstanders der boekdrukkunst","","","","","https://books.google.nl/books?id=CLAASljn1j4C","","1860","2021-01-15 13:42:00","2021-01-29 11:11:44","","","36","","3","","","","","","","","Algemeene Nederlandsche Typographische Hoofdvereeniging","","nl","","","","","","","Google-Books-ID: CLAASljn1j4C","","","","","","","","","","","","","","","","","","","","","","","","","10","","","","","","","","","","","","","","","","","","","","","","","","","",""
"36DG7VBQ","book","1860","","Laurens Coster: tijdschrift voor beoefenaren en voorstanders der boekdrukkunst","","","","","https://books.google.nl/books?id=IQGcg7dkTA4C","","1860","2021-01-15 13:42:00","2021-01-29 11:12:15","","","36","","3","","","","","","","","Algemeene Nederlandsche Typographische Hoofdvereeniging","","nl","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WQDWWJGB","book","1860","","Laurens Coster: tijdschrift voor beoefenaren en voorstanders der boekdrukkunst","","","","","https://books.google.nl/books?id=DbqFkFmTb1IC","","1860","2021-01-15 13:42:00","2021-01-29 11:12:35","","","82","","3","","","","","","","","Algemeene Nederlandsche Typographische Hoofdvereeniging","","nl","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","","","","","","","","","","","","",""
